,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.61,-37.64,42.8,87,100,6.93,GL,1593380195
1,Yellowknife,62.46,-114.35,68.0,37,20,8.05,CA,1593380445
2,Barrow,71.29,-156.79,51.8,66,1,11.41,US,1593380229
3,Sur,22.57,59.53,85.42,70,59,16.17,OM,1593380445
4,Ketchikan,55.34,-131.65,68.0,60,1,14.99,US,1593380445
5,Mīnāb,27.15,57.08,89.6,75,3,4.7,IR,1593380445
6,Nabire,-3.37,135.48,75.81,88,100,3.51,ID,1593380446
7,Nālūt,30.33,10.85,87.76,18,21,11.99,LY,1593380446
8,Busselton,-33.65,115.33,54.0,64,45,26.93,AU,1593380366
9,Ryōtsu-minato,38.08,138.43,68.0,88,90,2.24,JP,1593380446
10,Rikitea,-23.12,-134.97,67.91,57,0,18.37,PF,1593380446
11,Praia da Vitória,38.73,-27.07,68.0,94,75,8.5,PT,1593380446
12,Punta Arenas,-53.15,-70.92,30.2,86,8,6.93,CL,1593380181
13,Tikhvin,59.65,33.53,51.12,72,0,6.22,RU,1593380446
14,Narsaq,60.92,-46.05,53.6,58,93,12.75,GL,1593380446
15,Muborak,39.26,65.15,70.03,23,35,13.71,UZ,1593380446
16,Aksu,41.12,80.26,62.47,43,53,9.48,CN,1593380446
17,Tuktoyaktuk,69.45,-133.04,44.6,87,40,6.93,CA,1593380446
18,Port Alfred,-33.59,26.89,57.99,64,11,5.01,ZA,1593380446
19,Acaraú,-2.89,-40.12,78.64,81,11,13.87,BR,1593380447
20,Batesville,35.77,-91.64,90.0,59,1,11.41,US,1593380447
21,Saskylakh,71.92,114.08,78.75,40,0,2.86,RU,1593380447
22,Salalah,17.02,54.09,84.2,89,75,5.82,OM,1593380210
23,Tadine,-21.55,167.88,70.66,55,0,10.85,NC,1593380447
24,Lebu,-37.62,-73.65,53.58,90,73,13.73,CL,1593380447
25,Castro,-24.79,-50.01,52.48,86,98,6.06,BR,1593380447
26,Palmerston,-12.49,130.98,71.6,88,40,2.24,AU,1593380447
27,Nome,64.5,-165.41,46.4,75,90,5.82,US,1593380441
28,Esperance,-33.87,121.9,55.4,66,90,26.4,AU,1593380216
29,Hobart,-42.88,147.33,42.8,81,40,6.93,AU,1593380447
30,Vila Franca do Campo,37.72,-25.43,68.0,88,40,6.93,PT,1593380222
31,Naze,28.37,129.48,78.8,100,75,9.17,JP,1593380447
32,Naifaru,5.44,73.37,82.99,79,0,15.21,MV,1593380447
33,Mataura,-46.19,168.86,44.04,93,100,4.59,NZ,1593380448
34,Neiafu,-18.65,-173.98,80.6,83,40,8.05,TO,1593380448
35,Caravelas,-17.71,-39.25,73.02,84,3,7.63,BR,1593380448
36,Ponta do Sol,32.67,-17.1,71.6,78,40,14.99,PT,1593380187
37,Provideniya,64.38,-173.3,39.2,86,90,17.9,RU,1593380448
38,Sisimiut,66.94,-53.67,42.42,79,16,9.22,GL,1593380448
39,Carnarvon,-24.87,113.63,68.0,72,9,10.29,AU,1593380448
40,Kavieng,-2.57,150.8,83.82,77,17,12.3,PG,1593380448
41,Chokurdakh,70.63,147.92,57.38,44,100,7.81,RU,1593380448
42,Dikson,73.51,80.55,44.11,100,99,18.07,RU,1593380448
43,Tiksi,71.69,128.87,40.48,70,90,2.71,RU,1593380448
44,Atuona,-9.8,-139.03,80.31,76,4,14.45,PF,1593380448
45,Grand Gaube,-20.01,57.66,71.01,79,33,3.0,MU,1593380449
46,Avarua,-21.21,-159.78,75.2,64,23,12.75,CK,1593380201
47,Albany,42.6,-73.97,73.99,88,92,5.41,US,1593380227
48,Ulladulla,-35.35,150.47,48.2,100,75,5.82,AU,1593380320
49,Vaini,-21.2,-175.2,77.0,88,75,8.05,TO,1593380193
50,Damietta,31.42,31.81,74.53,85,0,10.74,EG,1593380449
51,Tuatapere,-46.13,167.68,46.98,82,100,10.96,NZ,1593380449
52,Kemijärvi,66.71,27.43,50.13,59,5,3.2,FI,1593380449
53,Katsuura,35.13,140.3,75.2,78,75,6.93,JP,1593380449
54,Hithadhoo,-0.6,73.08,84.51,72,21,8.75,MV,1593380449
55,Ushuaia,-54.8,-68.3,37.4,64,75,14.99,AR,1593380450
56,Ilulissat,69.22,-51.1,39.2,93,75,6.93,GL,1593380187
57,Izumo,35.37,132.77,71.6,88,75,5.82,JP,1593380450
58,Kloulklubed,7.04,134.26,75.2,94,75,6.91,PW,1593380450
59,Vilhena,-12.74,-60.15,80.6,57,20,8.05,BR,1593380373
60,Ribeira Grande,38.52,-28.7,68.61,91,35,6.89,PT,1593380450
61,Hilo,19.73,-155.09,82.4,61,40,8.05,US,1593380450
62,Abirāmam,9.47,78.45,82.4,78,95,4.7,IN,1593380450
63,Lorengau,-2.02,147.27,84.11,75,77,11.41,PG,1593380450
64,Clyde River,70.47,-68.59,33.8,100,90,10.29,CA,1593380450
65,Ayan,56.45,138.17,48.54,86,3,2.66,RU,1593380450
66,Wattegama,6.8,81.48,77.54,80,20,5.14,LK,1593380451
67,Ahipara,-35.17,173.17,58.08,73,13,17.58,NZ,1593380451
68,Constitución,-35.33,-72.42,54.5,93,100,11.43,CL,1593380451
69,Iqaluit,63.75,-68.51,39.2,86,75,8.05,CA,1593380451
70,Aswān,24.09,32.91,87.64,19,11,10.02,EG,1593380451
71,Huilong,31.81,121.66,79.0,99,100,13.98,CN,1593380230
72,Orlik,52.52,99.83,54.37,77,46,1.45,RU,1593380451
73,Bluff,-46.6,168.33,49.46,77,85,17.92,NZ,1593380451
74,Yulara,-25.24,130.99,42.8,52,0,5.82,AU,1593380451
75,Sabha,27.04,14.43,85.53,20,0,11.5,LY,1593380452
76,Cockburn Town,21.46,-71.14,82.94,77,0,13.02,TC,1593380452
77,Puerto Ayora,-0.74,-90.35,80.6,61,40,10.29,EC,1593380452
78,Carutapera,-1.2,-46.02,76.42,92,76,6.6,BR,1593380452
79,Mwene-Ditu,-7.0,23.45,70.88,49,30,3.36,CD,1593380452
80,Ucluelet,48.93,-125.55,68.0,56,5,9.17,CA,1593380181
81,Alofi,-19.06,-169.92,80.6,78,55,10.29,NU,1593380452
82,Arraial do Cabo,-22.97,-42.03,69.8,77,75,5.82,BR,1593380452
83,Kovdor,67.57,30.48,45.7,68,0,3.49,RU,1593380452
84,Riberalta,-10.98,-66.1,79.12,71,11,3.0,BO,1593380452
85,Mar del Plata,-38.0,-57.56,48.0,81,75,3.36,AR,1593380367
86,Kapaa,22.08,-159.32,84.0,74,40,9.17,US,1593380191
87,Edd,13.93,41.69,90.03,52,15,9.86,ER,1593380452
88,Lubartów,51.46,22.61,73.0,100,60,2.24,PL,1593380453
89,Vestmanna,62.16,-7.17,55.4,76,82,20.8,FO,1593380453
90,Coswig,51.13,13.58,66.2,88,100,3.36,DE,1593380453
91,Upernavik,72.79,-56.15,40.55,73,0,10.76,GL,1593380453
92,Cabo San Lucas,22.89,-109.91,86.0,58,90,10.29,MX,1593380453
93,Jamestown,42.1,-79.24,77.0,60,40,8.05,US,1593380160
94,Zabaykal'sk,49.63,117.32,65.55,58,98,7.27,RU,1593380453
95,Comodoro Rivadavia,-45.87,-67.5,39.2,93,75,9.89,AR,1593380292
96,Chingirlau,51.09,54.08,56.93,78,49,3.56,KZ,1593380201
97,Nikolskoye,59.7,30.79,62.6,55,0,4.47,RU,1593380184
98,Deputatsky,69.3,139.9,54.72,71,96,6.33,RU,1593380453
99,Billings Metropolitan Area,45.78,-108.5,61.0,77,90,12.75,US,1593380453
100,Coquimbo,-29.95,-71.34,55.4,87,90,4.7,CL,1593380305
101,Bathsheba,13.22,-59.52,84.2,74,20,16.11,BB,1593380454
102,Staryy Nadym,65.61,72.68,48.96,92,100,18.12,RU,1593380454
103,Soure,-0.72,-48.52,80.65,82,72,9.4,BR,1593380454
104,Sambava,-14.27,50.17,72.28,87,46,8.34,MG,1593380454
105,Mahébourg,-20.41,57.7,71.6,83,40,5.82,MU,1593380454
106,Thompson,55.74,-97.86,57.2,93,90,12.75,CA,1593380454
107,Bunia,1.57,30.25,64.44,86,1,6.02,CD,1593380454
108,East London,-33.02,27.91,60.03,57,0,18.97,ZA,1593380454
109,Ballina,-28.87,153.57,50.0,93,75,5.82,AU,1593380454
110,Aklavik,68.22,-135.01,66.2,37,20,8.05,CA,1593380454
111,George Town,5.41,100.34,84.2,94,40,3.36,MY,1593380454
112,Ust-Nera,64.57,143.2,76.91,32,57,2.77,RU,1593380454
113,New Norfolk,-42.78,147.06,39.99,91,2,2.91,AU,1593380455
114,Yenangyaung,20.47,94.88,78.48,80,85,11.5,MM,1593380455
115,Rielasingen-Worblingen,47.73,8.84,62.01,91,100,1.99,DE,1593380455
116,Kodinsk,58.69,99.18,65.55,72,100,2.89,RU,1593380455
117,Amapá,1.0,-52.0,74.71,97,100,2.44,BR,1593380455
