,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Manggar,-2.88,108.27,81.88,83,97,15.5,ID
1,Hithadhoo,-0.6,73.08,83.86,65,99,2.89,MV
2,Mahébourg,-20.41,57.7,62.6,93,40,4.7,MU
3,Rikitea,-23.12,-134.97,69.33,62,48,17.07,PF
4,Mozarlândia,-14.74,-50.57,70.18,56,9,2.33,BR
5,Eyl,7.98,49.82,81.46,64,100,26.31,SO
6,Cape Town,-33.93,18.42,48.2,93,0,2.24,ZA
7,Vaini,-21.2,-175.2,75.2,73,75,10.29,TO
8,Butaritari,3.07,172.79,83.1,71,0,7.29,KI
9,Jamestown,42.1,-79.24,69.8,68,1,3.36,US
10,Tuatapere,-46.13,167.68,44.73,78,97,3.06,NZ
11,Kaitangata,-46.28,169.85,46.99,68,100,5.99,NZ
12,Shingū,33.73,135.98,75.2,88,75,3.36,JP
13,Puerto Ayora,-0.74,-90.35,70.0,92,69,5.01,EC
14,Klyuchi,52.27,79.17,73.71,49,100,9.55,RU
15,Constitución,-35.33,-72.42,53.13,79,100,3.65,CL
16,Hermanus,-34.42,19.23,59.59,67,0,3.36,ZA
17,Bagotville,-28.98,153.42,69.01,56,0,2.64,AU
18,Punta Arenas,-53.15,-70.92,24.8,85,2,4.7,CL
19,Bonney Lake,47.18,-122.19,62.01,67,90,8.05,US
20,Mataura,-46.19,168.86,42.39,89,100,3.87,NZ
21,Thompson,55.74,-97.86,68.0,72,40,16.11,CA
22,New Norfolk,-42.78,147.06,48.99,78,38,3.2,AU
23,Busselton,-33.65,115.33,51.01,90,67,5.01,AU
24,Shuangyang,43.52,125.67,82.0,47,20,11.18,CN
25,Souillac,-20.52,57.52,62.6,93,40,4.7,MU
26,Ushuaia,-54.8,-68.3,26.6,79,0,8.05,AR
27,Nouadhibou,20.93,-17.03,69.8,83,0,14.99,MR
28,Kaka,37.35,59.61,77.92,22,0,2.17,TM
29,Suntar,62.14,117.63,85.89,37,0,3.56,RU
30,Ahipara,-35.17,173.17,56.1,76,35,14.97,NZ
31,College,64.86,-147.8,53.6,66,75,5.82,US
32,East London,-33.02,27.91,58.37,73,0,12.77,ZA
33,Katsuura,35.13,140.3,79.0,91,100,11.99,JP
34,Saint-Philippe,-21.36,55.77,66.2,48,0,6.93,RE
35,Crotone,39.09,17.12,76.77,63,0,4.18,IT
36,Hobart,-42.88,147.33,55.4,66,20,3.36,AU
37,Wajima,37.4,136.9,75.2,78,75,11.41,JP
38,Faanui,-16.48,-151.75,77.99,74,10,24.54,PF
39,Castro,-24.79,-50.01,59.4,93,83,11.68,BR
40,Guangzhou,23.12,113.25,93.0,59,40,6.71,CN
41,Kelvington,52.17,-103.53,67.32,97,100,7.63,CA
42,Hamilton,39.18,-84.53,75.99,94,1,1.57,US
43,Avarua,-21.21,-159.78,78.8,74,58,16.11,CK
44,Buin,-33.73,-70.75,50.0,76,75,8.05,CL
45,Kapaa,22.08,-159.32,84.2,66,1,10.29,US
46,Pevek,69.7,170.31,37.35,87,100,10.87,RU
47,Nome,64.5,-165.41,48.2,87,90,10.29,US
48,Mildura,-34.2,142.15,64.0,31,3,10.29,AU
